epoch,loss
0,5.248577353631845e-06
1,1.271908286677596e-06
2,7.510988509845144e-07
3,5.643369035775928e-07
4,4.468011821397037e-07
5,3.737799826922128e-07
6,3.287342698361802e-07
7,2.787234783075595e-07
